Time,fwEMG 3,Subject,MVC,Trial,Peak_Number,Is_Highest
345.3272727272727,0.07512071910740595,S04,10,1,31,False
350.5090909090909,0.08068482529863291,S04,10,1,32,False
354.6818181818182,0.05926303501690037,S04,10,1,33,False
359.6090909090909,0.06029021395338298,S04,10,1,34,False
363.2,0.06689817035958029,S04,10,1,35,False
367.77272727272725,0.06441549585315445,S04,10,1,36,False
370.0318181818182,0.005002388360565761,S04,10,1,37,False
372.6818181818182,0.07280097776098768,S04,10,1,38,False
377.02272727272725,0.20655232176255317,S04,10,1,39,True
379.04545454545456,0.05947528406475305,S04,10,1,40,False
381.6454545454545,0.15232436383016182,S04,10,1,41,False
383.74545454545455,0.009774413500635327,S04,10,1,42,False
386.03636363636366,0.0935107958949769,S04,10,1,43,False
390.0,0.05278135961316885,S04,10,1,44,False
392.00454545454545,0.052673707287719265,S04,10,1,45,False
394.3636363636364,0.05972844840888146,S04,10,1,46,False
396.6136363636364,0.04418138628856706,S04,10,1,47,False
398.7318181818182,0.06208268892522681,S04,10,1,48,False
400.7318181818182,0.034037141308230344,S04,10,1,49,False
404.0090909090909,0.0500290775354171,S04,10,1,50,False
407.73636363636365,0.18677034187515795,S04,10,1,51,False
410.0590909090909,0.053523345897582536,S04,10,1,52,False
412.8545454545455,0.050773739001738524,S04,10,1,53,False
415.0954545454546,0.1759818394750889,S04,10,1,54,False
417.4409090909091,0.00974239756352274,S04,10,1,55,False
420.7227272727273,0.06973820034321823,S04,10,1,56,False
422.8363636363636,0.010049120636994561,S04,10,1,57,False
246.03181818181818,0.0854084982962445,S04,10,2,1,False
249.25,0.03709945329632453,S04,10,2,2,False
251.97727272727272,0.05990515276803743,S04,10,2,3,False
254.53181818181818,0.015741227822111736,S04,10,2,4,False
257.33181818181816,0.05928594758126596,S04,10,2,5,False
261.2318181818182,0.011586899538581281,S04,10,2,6,False
265.8,0.054559884297088204,S04,10,2,7,False
271.01363636363635,0.04150270650393255,S04,10,2,8,False
277.9590909090909,0.054248463964759505,S04,10,2,9,False
282.5181818181818,0.051740827804024024,S04,10,2,10,False
286.17727272727274,0.258579116649196,S04,10,2,11,True
288.99545454545455,0.06287780413975602,S04,10,2,12,False
291.69545454545454,0.011112662047884466,S04,10,2,13,False
294.5590909090909,0.09409313079546616,S04,10,2,14,False
299.0772727272727,0.057404915458900176,S04,10,2,15,False
303.46363636363634,0.038211972084411905,S04,10,2,16,False
305.7681818181818,0.007302138932635362,S04,10,2,17,False
308.2772727272727,0.057708192594914026,S04,10,2,18,False
311.4727272727273,0.05378800704878146,S04,10,2,19,False
315.2181818181818,0.05461835349105848,S04,10,2,20,False
319.2090909090909,0.04763416830952941,S04,10,2,21,False
323.8272727272727,0.043697739259007155,S04,10,2,22,False
328.4727272727273,0.046766495539489736,S04,10,2,23,False
330.5272727272727,0.00797866054812164,S04,10,2,24,False
333.66818181818184,0.04155121533422644,S04,10,2,25,False
338.1090909090909,0.04724195160592442,S04,10,2,26,False
342.85,0.04249791671392552,S04,10,2,27,False
346.17727272727274,0.062322990437737216,S04,10,2,28,False
349.4318181818182,0.0553056246732825,S04,10,2,29,False
351.8636363636364,0.03194221604933374,S04,10,2,30,False
354.1363636363636,0.047867675343568575,S04,10,2,31,False
356.79545454545456,0.030382182332088246,S04,10,2,32,False
359.2590909090909,0.049357890321630016,S04,10,2,33,False
363.3954545454545,0.046850085212616625,S04,10,2,34,False
367.53636363636366,0.05426862250798964,S04,10,2,35,False
372.25454545454545,0.04375890259460874,S04,10,2,36,False
375.8818181818182,0.05102497362564456,S04,10,2,37,False
379.1181818181818,0.046418689910791705,S04,10,2,38,False
382.23636363636365,0.1784724485434545,S04,10,2,39,False
384.3590909090909,0.006330812642500946,S04,10,2,40,False
386.55,0.060099532326005796,S04,10,2,41,False
388.6181818181818,0.004671001617834719,S04,10,2,42,False
390.79545454545456,0.08841683836225175,S04,10,2,43,False
396.3863636363636,0.03787171333487743,S04,10,2,44,False
398.8681818181818,0.05361574910989837,S04,10,2,45,False
402.93636363636364,0.05343787691353849,S04,10,2,46,False
406.66818181818184,0.046337091329901284,S04,10,2,47,False
410.6636363636364,0.05973576434726785,S04,10,2,48,False
413.9727272727273,0.04445437667494331,S04,10,2,49,False
415.9909090909091,0.026300997841838588,S04,10,2,50,False
418.6090909090909,0.19182134487560698,S04,10,2,51,False
420.8,0.0544586842673747,S04,10,2,52,False
424.6727272727273,0.038836829973561526,S04,10,2,53,False
428.7181818181818,0.05264538858176716,S04,10,2,54,False
432.08181818181816,0.06378336974618676,S04,10,2,55,False
436.1409090909091,0.04115178806295133,S04,10,2,56,False
439.79545454545456,0.039955747536906096,S04,10,2,57,False
443.2409090909091,0.05478025237871459,S04,10,2,58,False
446.98636363636365,0.05093879714367404,S04,10,2,59,False
450.6090909090909,0.05352605729604448,S04,10,2,60,False
454.67727272727274,0.17708015347712075,S04,10,2,61,False
457.9909090909091,0.04940210989423936,S04,10,2,62,False
460.66818181818184,0.054517911812463654,S04,10,2,63,False
462.8727272727273,0.0047976787438181725,S04,10,2,64,False
465.2681818181818,0.0702092516776653,S04,10,2,65,False
468.8363636363636,0.04716507503183991,S04,10,2,66,False
472.1454545454545,0.0052617027821562756,S04,10,2,67,False
474.16818181818184,0.23656864493977903,S04,10,2,68,False
476.53636363636366,0.03741254210008055,S04,10,2,69,False
479.82272727272726,0.07787142610966252,S04,10,2,70,False
483.8909090909091,0.04936351198938484,S04,10,2,71,False
486.8545454545455,0.1989207418401549,S04,10,2,72,False
488.9227272727273,0.030248014799332833,S04,10,2,73,False
491.5318181818182,0.048211230816834164,S04,10,2,74,False
494.3772727272727,0.17809358700952135,S04,10,2,75,False
498.46363636363634,0.052940930793550445,S04,10,2,76,False
239.77727272727273,0.01030068983517763,S04,10,3,1,False
242.5772727272727,0.05310861839701535,S04,10,3,2,False
246.3090909090909,0.016432230050418842,S04,10,3,3,False
249.16363636363636,0.04426532456968306,S04,10,3,4,False
258.0954545454546,0.01753580908091764,S04,10,3,5,False
266.15,0.04594437345438052,S04,10,3,6,False
271.08181818181816,0.061060539596441005,S04,10,3,7,False
276.9590909090909,0.05365353467641476,S04,10,3,8,False
282.0681818181818,0.04947305131830092,S04,10,3,9,False
288.43636363636364,0.051605739338672414,S04,10,3,10,False
292.1636363636364,0.010686252677040979,S04,10,3,11,False
294.6136363636364,0.05653549020525681,S04,10,3,12,False
297.49545454545455,0.0148292252030422,S04,10,3,13,False
299.7318181818182,0.04748074266879361,S04,10,3,14,False
303.3181818181818,0.04698679064776412,S04,10,3,15,False
307.6409090909091,0.04704606020874212,S04,10,3,16,False
312.79545454545456,0.03401474034913466,S04,10,3,17,False
316.3,0.07027743446095831,S04,10,3,18,False
318.8772727272727,0.00794745220739285,S04,10,3,19,False
321.1363636363636,0.052794948423170965,S04,10,3,20,False
323.9318181818182,0.03441699384427267,S04,10,3,21,False
326.4818181818182,0.05765462958426082,S04,10,3,22,False
330.55,0.0435704564334215,S04,10,3,23,False
333.9227272727273,0.05489717492288966,S04,10,3,24,False
337.45454545454544,0.05835693335676272,S04,10,3,25,False
341.46363636363634,0.0548026068641638,S04,10,3,26,False
344.7909090909091,0.05849243954961386,S04,10,3,27,False
347.5272727272727,0.012216819078136213,S04,10,3,28,False
350.05454545454546,0.26423236842129505,S04,10,3,29,True
352.2818181818182,0.05312200242377102,S04,10,3,30,False
354.54545454545456,0.015991446163527642,S04,10,3,31,False
357.00454545454545,0.05653003397899879,S04,10,3,32,False
359.01363636363635,0.014225215645567096,S04,10,3,33,False
362.5090909090909,0.19254119160275315,S04,10,3,34,False
364.80454545454546,0.040967781226684166,S04,10,3,35,False
367.4136363636364,0.17417905546859386,S04,10,3,36,False
369.8090909090909,0.05533483998233567,S04,10,3,37,False
373.3818181818182,0.07830878376467672,S04,10,3,38,False
377.70454545454544,0.07887055016684207,S04,10,3,39,False
380.8727272727273,0.17454724957885814,S04,10,3,40,False
383.8181818181818,0.07727234566870608,S04,10,3,41,False
388.1090909090909,0.05529293452304905,S04,10,3,42,False
392.43636363636364,0.1667384054552907,S04,10,3,43,False
395.00454545454545,0.04526011704526279,S04,10,3,44,False
398.4818181818182,0.15497532717183882,S04,10,3,45,False
401.2181818181818,0.0632566935608691,S04,10,3,46,False
403.3954545454545,0.1753506281434882,S04,10,3,47,False
408.01363636363635,0.1667856998779327,S04,10,3,48,False
410.94545454545454,0.07466555115737757,S04,10,3,49,False
414.94545454545454,0.17563574006249394,S04,10,3,50,False
418.17727272727274,0.07384633398188575,S04,10,3,51,False
420.41818181818184,0.16910083886977945,S04,10,3,52,False
422.6318181818182,0.006277565565895683,S04,10,3,53,False
425.0409090909091,0.16145949136711357,S04,10,3,54,False
428.93636363636364,0.15484961933187252,S04,10,3,55,False
432.54545454545456,0.15417157695515515,S04,10,3,56,False
436.18636363636364,0.08944737733454189,S04,10,3,57,False
439.05454545454546,0.1656362137776547,S04,10,3,58,False
441.5272727272727,0.0468143286190664,S04,10,3,59,False
444.05,0.16750622538999388,S04,10,3,60,False
447.5272727272727,0.10673396045978002,S04,10,3,61,False
449.7181818181818,0.17364618020679495,S04,10,3,62,False
453.1909090909091,0.09360151916864554,S04,10,3,63,False
455.49545454545455,0.18445425874112004,S04,10,3,64,False
458.0272727272727,0.053471551273467255,S04,10,3,65,False
460.84090909090907,0.16443983353902258,S04,10,3,66,False
463.82272727272726,0.07372803173594397,S04,10,3,67,False
466.5590909090909,0.18279790483118966,S04,10,3,68,False
468.7409090909091,0.010096393011647546,S04,10,3,69,False
471.25,0.20145005883203965,S04,10,3,70,False
474.4318181818182,0.006762365318769393,S04,10,3,71,False
476.66818181818184,0.1611823253329367,S04,10,3,72,False
479.96363636363634,0.0735976493701809,S04,10,3,73,False
483.42727272727274,0.16218125643194653,S04,10,3,74,False
488.1636363636364,0.17920493783646232,S04,10,3,75,False
493.51363636363635,0.21202177896546548,S04,10,3,76,False
496.3,0.02669355175347661,S04,10,3,77,False
499.2681818181818,0.15745219112223535,S04,10,3,78,False
232.87727272727273,0.0633681404303148,S04,25,1,1,False
235.3909090909091,0.07989555663222436,S04,25,1,2,False
241.8409090909091,0.0704282976841179,S04,25,1,3,False
245.32272727272726,0.07111804500369162,S04,25,1,4,False
247.70454545454547,0.028828755205351043,S04,25,1,5,False
251.67727272727274,0.08618968170923691,S04,25,1,6,False
256.49545454545455,0.07257959524210071,S04,25,1,7,False
258.95454545454544,0.03252221408344728,S04,25,1,8,False
261.2227272727273,0.06951482029687572,S04,25,1,9,False
